Ilce,HasereTuru,RiskSeviyesi,OrtalamaSicaklikC,TavsiyeEdilenPeriyotAy,GeziciEkipSayisi,EnYakinSube
Sariyer,Pire,Yuksek,25.1,6,3,TCK Sariyer Subesi
Sariyer,Hamam Bocegi,Orta,24.9,6,2,TCK Sariyer Subesi
Sariyer,Akrep,Yuksek,23.6,3,4,TCK Sariyer Subesi
Sariyer,Kene,Yuksek,22.3,6,2,TCK Sariyer Subesi
Sariyer,Tahtakurusu,Orta,26.2,6,2,TCK Sariyer Subesi
Sariyer,Sivrisinek,Orta,22.1,6,3,TCK Sariyer Subesi
Beykoz,Fare,Orta,28.5,3,4,TCK Beykoz Subesi
Beykoz,Bocek,Yuksek,25.5,6,2,TCK Beykoz Subesi
Beykoz,Pire,Yuksek,29.8,6,3,TCK Beykoz Subesi
Beykoz,Hamam Bocegi,Yuksek,21.6,6,5,TCK Beykoz Subesi
Beykoz,Akrep,Yuksek,29.4,3,3,TCK Beykoz Subesi
Beykoz,Kene,Yuksek,26.2,6,3,TCK Beykoz Subesi
Beykoz,Tahtakurusu,Yuksek,29.6,6,3,TCK Beykoz Subesi
Beykoz,Sivrisinek,Yuksek,28.9,6,3,TCK Beykoz Subesi
Beyoglu,Fare,Orta,21.2,3,3,TCK Beyoglu Subesi
Beyoglu,Bocek,Yuksek,27.8,6,2,TCK Beyoglu Subesi
Beyoglu,Pire,Orta,23.7,6,2,TCK Beyoglu Subesi
Beyoglu,Hamam Bocegi,Orta,27.2,6,2,TCK Beyoglu Subesi
Beyoglu,Akrep,Orta,26.9,3,5,TCK Beyoglu Subesi
Beyoglu,Kene,Orta,21.9,6,2,TCK Beyoglu Subesi
Beyoglu,Tahtakurusu,Orta,25.4,6,5,TCK Beyoglu Subesi
Beyoglu,Sivrisinek,Yuksek,25.1,6,2,TCK Beyoglu Subesi
Fatih,Fare,Yuksek,23.5,3,5,TCK Fatih Subesi
Fatih,Bocek,Orta,24.4,6,5,TCK Fatih Subesi
Fatih,Pire,Orta,26.9,6,2,TCK Fatih Subesi
Fatih,Hamam Bocegi,Orta,24.6,6,2,TCK Fatih Subesi
Fatih,Akrep,Yuksek,21.5,3,3,TCK Fatih Subesi
Fatih,Kene,Orta,23.8,6,5,TCK Fatih Subesi
Fatih,Tahtakurusu,Yuksek,28.9,6,2,TCK Fatih Subesi
Fatih,Sivrisinek,Orta,24.8,6,2,TCK Fatih Subesi
Zeytinburnu,Fare,Orta,25.8,3,4,TCK Zeytinburnu Subesi
Zeytinburnu,Bocek,Yuksek,21.2,6,2,TCK Zeytinburnu Subesi
Zeytinburnu,Pire,Orta,22.3,6,3,TCK Zeytinburnu Subesi
Zeytinburnu,Hamam Bocegi,Orta,22.7,6,4,TCK Zeytinburnu Subesi
Zeytinburnu,Akrep,Yuksek,24.0,3,5,TCK Zeytinburnu Subesi
Zeytinburnu,Kene,Orta,30.0,6,5,TCK Zeytinburnu Subesi
Zeytinburnu,Tahtakurusu,Orta,22.9,6,5,TCK Zeytinburnu Subesi
Zeytinburnu,Sivrisinek,Yuksek,21.1,6,2,TCK Zeytinburnu Subesi
Basaksehir,Fare,Orta,23.2,3,2,TCK Basaksehir Subesi
Basaksehir,Bocek,Yuksek,26.5,6,2,TCK Basaksehir Subesi
Basaksehir,Pire,Orta,27.1,6,2,TCK Basaksehir Subesi
Basaksehir,Hamam Bocegi,Orta,24.6,6,2,TCK Basaksehir Subesi
Basaksehir,Akrep,Orta,26.3,3,3,TCK Basaksehir Subesi
Basaksehir,Kene,Yuksek,21.9,6,3,TCK Basaksehir Subesi
Basaksehir,Tahtakurusu,Yuksek,22.7,6,5,TCK Basaksehir Subesi
Basaksehir,Sivrisinek,Yuksek,21.0,6,2,TCK Basaksehir Subesi
Beylikduzu,Fare,Orta,28.3,3,3,TCK Beylikduzu Subesi
Beylikduzu,Bocek,Orta,29.5,6,2,TCK Beylikduzu Subesi
Beylikduzu,Pire,Orta,21.9,6,3,TCK Beylikduzu Subesi
Beylikduzu,Hamam Bocegi,Orta,24.4,6,4,TCK Beylikduzu Subesi
Beylikduzu,Akrep,Yuksek,29.0,3,5,TCK Beylikduzu Subesi
Beylikduzu,Kene,Yuksek,26.3,6,3,TCK Beylikduzu Subesi
Beylikduzu,Tahtakurusu,Yuksek,22.3,6,5,TCK Beylikduzu Subesi
Beylikduzu,Sivrisinek,Yuksek,27.0,6,5,TCK Beylikduzu Subesi
Esenyurt,Fare,Yuksek,26.4,3,2,TCK Esenyurt Subesi
Esenyurt,Bocek,Yuksek,26.3,6,4,TCK Esenyurt Subesi
Esenyurt,Pire,Yuksek,24.7,6,3,TCK Esenyurt Subesi
Esenyurt,Hamam Bocegi,Yuksek,27.3,6,5,TCK Esenyurt Subesi
Esenyurt,Akrep,Orta,21.1,3,4,TCK Esenyurt Subesi
Esenyurt,Kene,Yuksek,25.8,6,4,TCK Esenyurt Subesi
Esenyurt,Tahtakurusu,Orta,27.4,6,4,TCK Esenyurt Subesi
Esenyurt,Sivrisinek,Orta,22.7,6,3,TCK Esenyurt Subesi
Avcilar,Fare,Orta,26.8,3,3,TCK Avcilar Subesi
Avcilar,Bocek,Orta,30.0,6,3,TCK Avcilar Subesi
Avcilar,Pire,Orta,27.3,6,4,TCK Avcilar Subesi
Avcilar,Hamam Bocegi,Yuksek,28.0,6,5,TCK Avcilar Subesi
Avcilar,Akrep,Yuksek,23.4,3,2,TCK Avcilar Subesi
Avcilar,Kene,Orta,23.1,6,3,TCK Avcilar Subesi
Avcilar,Tahtakurusu,Yuksek,21.8,6,4,TCK Avcilar Subesi
Avcilar,Sivrisinek,Orta,25.4,6,3,TCK Avcilar Subesi
Kucukcekmece,Fare,Yuksek,28.3,3,4,TCK Kucukcekmece Subesi
Kucukcekmece,Bocek,Yuksek,23.5,6,3,TCK Kucukcekmece Subesi
Kucukcekmece,Pire,Orta,27.1,6,3,TCK Kucukcekmece Subesi
Kucukcekmece,Hamam Bocegi,Yuksek,25.3,6,3,TCK Kucukcekmece Subesi
Kucukcekmece,Akrep,Yuksek,25.8,3,3,TCK Kucukcekmece Subesi
Kucukcekmece,Kene,Yuksek,29.8,6,3,TCK Kucukcekmece Subesi
Kucukcekmece,Tahtakurusu,Yuksek,26.8,6,2,TCK Kucukcekmece Subesi
Kucukcekmece,Sivrisinek,Orta,26.0,6,3,TCK Kucukcekmece Subesi
Bahcelievler,Fare,Yuksek,22.5,3,5,TCK Bahcelievler Subesi
Bahcelievler,Bocek,Yuksek,21.1,6,4,TCK Bahcelievler Subesi
Bahcelievler,Pire,Yuksek,24.8,6,2,TCK Bahcelievler Subesi
Bahcelievler,Hamam Bocegi,Orta,22.0,6,3,TCK Bahcelievler Subesi
Bahcelievler,Akrep,Orta,24.2,3,2,TCK Bahcelievler Subesi
Bahcelievler,Kene,Orta,22.0,6,3,TCK Bahcelievler Subesi
Bahcelievler,Tahtakurusu,Yuksek,28.9,6,2,TCK Bahcelievler Subesi
Bahcelievler,Sivrisinek,Orta,27.2,6,5,TCK Bahcelievler Subesi
Bagcilar,Fare,Yuksek,22.4,3,4,TCK Bagcilar Subesi
Bagcilar,Bocek,Orta,25.7,6,2,TCK Bagcilar Subesi
Bagcilar,Pire,Yuksek,28.5,6,5,TCK Bagcilar Subesi
Bagcilar,Hamam Bocegi,Orta,29.8,6,2,TCK Bagcilar Subesi
Bagcilar,Akrep,Yuksek,26.2,3,2,TCK Bagcilar Subesi
Bagcilar,Kene,Yuksek,23.0,6,4,TCK Bagcilar Subesi
Bagcilar,Tahtakurusu,Yuksek,23.9,6,4,TCK Bagcilar Subesi
Bagcilar,Sivrisinek,Yuksek,22.3,6,3,TCK Bagcilar Subesi
Gaziosmanpasa,Fare,Orta,26.8,3,4,TCK Gaziosmanpasa Subesi
Gaziosmanpasa,Bocek,Orta,24.4,6,2,TCK Gaziosmanpasa Subesi
Gaziosmanpasa,Pire,Yuksek,20.9,6,4,TCK Gaziosmanpasa Subesi
Gaziosmanpasa,Hamam Bocegi,Orta,25.2,6,4,TCK Gaziosmanpasa Subesi
Gaziosmanpasa,Akrep,Yuksek,28.4,3,3,TCK Gaziosmanpasa Subesi
Gaziosmanpasa,Kene,Orta,23.8,6,5,TCK Gaziosmanpasa Subesi
Gaziosmanpasa,Tahtakurusu,Orta,28.5,6,3,TCK Gaziosmanpasa Subesi
Gaziosmanpasa,Sivrisinek,Yuksek,24.7,6,5,TCK Gaziosmanpasa Subesi
Eyupsultan,Fare,Yuksek,26.4,3,3,TCK Eyupsultan Subesi
Eyupsultan,Bocek,Yuksek,23.2,6,3,TCK Eyupsultan Subesi
Eyupsultan,Pire,Orta,27.0,6,5,TCK Eyupsultan Subesi
Eyupsultan,Hamam Bocegi,Orta,22.9,6,3,TCK Eyupsultan Subesi
Eyupsultan,Akrep,Yuksek,28.5,3,2,TCK Eyupsultan Subesi
Eyupsultan,Kene,Orta,29.6,6,5,TCK Eyupsultan Subesi
Eyupsultan,Tahtakurusu,Yuksek,26.0,6,4,TCK Eyupsultan Subesi
Eyupsultan,Sivrisinek,Yuksek,22.1,6,4,TCK Eyupsultan Subesi
Kagithane,Fare,Yuksek,20.8,3,3,TCK Kagithane Subesi
Kagithane,Bocek,Orta,24.2,6,4,TCK Kagithane Subesi
Kagithane,Pire,Orta,27.8,6,3,TCK Kagithane Subesi
Kagithane,Hamam Bocegi,Yuksek,27.1,6,3,TCK Kagithane Subesi
Kagithane,Akrep,Yuksek,29.5,3,5,TCK Kagithane Subesi
Kagithane,Kene,Orta,23.3,6,4,TCK Kagithane Subesi
Kagithane,Tahtakurusu,Orta,25.5,6,5,TCK Kagithane Subesi
Kagithane,Sivrisinek,Yuksek,28.2,6,5,TCK Kagithane Subesi
Sile,Fare,Yuksek,20.9,3,5,TCK Sile Subesi
Sile,Bocek,Yuksek,29.0,6,4,TCK Sile Subesi
Sile,Pire,Yuksek,23.1,6,5,TCK Sile Subesi
Sile,Hamam Bocegi,Yuksek,29.9,6,5,TCK Sile Subesi
Sile,Akrep,Orta,24.7,3,2,TCK Sile Subesi
Sile,Kene,Orta,27.8,6,4,TCK Sile Subesi
Sile,Tahtakurusu,Orta,20.1,6,2,TCK Sile Subesi
Sile,Sivrisinek,Orta,26.5,6,4,TCK Sile Subesi
Cekmekoy,Fare,Yuksek,22.9,3,3,TCK Cekmekoy Subesi
Cekmekoy,Bocek,Orta,28.9,6,4,TCK Cekmekoy Subesi
Cekmekoy,Pire,Orta,25.0,6,3,TCK Cekmekoy Subesi
Cekmekoy,Hamam Bocegi,Orta,27.9,6,4,TCK Cekmekoy Subesi
Cekmekoy,Akrep,Yuksek,29.8,3,2,TCK Cekmekoy Subesi
Cekmekoy,Kene,Orta,21.4,6,5,TCK Cekmekoy Subesi
Cekmekoy,Tahtakurusu,Orta,25.8,6,5,TCK Cekmekoy Subesi
Cekmekoy,Sivrisinek,Yuksek,25.2,6,2,TCK Cekmekoy Subesi
Tuzla,Fare,Orta,28.8,3,4,TCK Tuzla Subesi
Tuzla,Bocek,Orta,27.7,6,4,TCK Tuzla Subesi
Tuzla,Pire,Yuksek,23.1,6,4,TCK Tuzla Subesi
Tuzla,Hamam Bocegi,Yuksek,23.9,6,3,TCK Tuzla Subesi
Tuzla,Akrep,Orta,22.4,3,2,TCK Tuzla Subesi
Tuzla,Kene,Orta,29.8,6,2,TCK Tuzla Subesi
Tuzla,Tahtakurusu,Orta,24.9,6,3,TCK Tuzla Subesi
Tuzla,Sivrisinek,Orta,25.0,6,2,TCK Tuzla Subesi
